Sweep	g
1043	1670.74
1044	645.523
1045	645.523
1046	645.523
1047	2765.35
1048	2765.35
1049	2765.35
1050	1418.91
1051	1418.91
1052	1064.04
1053	1064.04
1054	683.482
1055	683.482
1056	1404.6
1057	1404.6
1058	918.369
1059	2193.93
1060	2193.93
1061	2193.93
1062	2193.93
1063	1292.68
1064	838.134
1065	1414.17
1066	1297.29
1067	575.489
1068	575.489
1069	575.489
1070	575.489
1071	818.156
1072	1128.47
1073	1210.76
1074	3441.22
1075	2461.14
1076	2461.14
1077	2461.14
1078	3011.18
1079	520.536
1080	520.536
1081	557.213
1082	557.213
1083	1161.3
1084	1161.3
1085	1161.3
1086	1272.17
1087	1272.17
1088	1272.17
1089	1272.17
1090	1272.17
1091	1272.17
1092	1085.36
1093	1221.26
1094	1221.26
1095	1221.26
1096	1221.26
1097	1221.26
1098	455.447
1099	522.828
1100	575.337
1101	575.337
1102	575.337
1103	575.337
1104	575.337
1105	1883.75
1106	1051.72
1107	1051.72
1108	1051.72
1109	1051.72
1110	738.498
1111	738.498
1112	1273.36
1113	1273.36
1114	1273.36
1115	1273.36
1116	2511.37
1117	2511.37
1118	1788.79
1119	1788.79
1120	732.205
1121	2219.93
1122	1378.39
1123	1378.39
1124	2181.29
1125	2181.29
1126	1605.07
1127	1605.59
1128	1605.59
1129	1362.04
1130	1362.04
1131	1362.04
1132	1362.04
1133	1362.04
1134	1362.04
1135	1362.04
1136	2560.25
1137	1417.06
1138	1396.43
1139	1448.92
1140	1448.92
1141	1443.95
1142	2695.11
1143	2695.11
1144	474.398
1145	474.398
1146	474.398
1147	474.398
1148	983.286
1149	983.286
1150	983.286
1151	983.286
1152	983.286
1153	983.286
1154	1198.6
1155	1198.6
1156	1198.6
1157	1198.6
1158	1198.6
1159	1198.6
1160	1198.6
1161	1198.6
1162	1198.6
1163	1198.6
1164	1198.6
1165	1198.6
1166	880.625
1167	1330.05
1168	1754.51
1169	1754.51
1170	1754.51
1171	1341.07
1172	1341.07
1173	1341.07
1174	2374.02
1175	2374.02
1176	2374.02
1177	1817.12
1178	1817.12
1179	1817.12
1180	1138.88
1181	1910.62
1182	1899.79
1183	1899.79
1184	1899.79
1185	1899.79
1186	1280.23
1187	1280.23
1188	1280.23
1189	1955.58
1190	1955.58
1191	977.246
1192	977.246
1193	977.246
1194	977.246
1195	977.246
1196	977.246
1197	977.246
1198	962.879
1199	1050.6
1200	1007.92
1201	1007.92
1202	910.968
1203	910.968
1204	910.968
1205	910.968
1206	2729.9
1207	2256.3
1208	578.677
1209	2086.26
1210	1466.08
1211	1466.08
1212	1466.08
1213	2220.61
1214	2220.61
1215	2220.61
1216	2220.61
1217	770.975
1218	3074.6
1219	1818.23
1220	1818.23
1221	1119.42
1222	1119.42
1223	1119.42
1224	1119.42
1225	1119.42
1226	1119.42
1227	1119.42
1228	1119.42
1229	1119.42
1230	2552.33
1231	2611.58
1232	2611.58
1233	2611.58
1234	1889.19
1235	1425.8
1236	1425.8
1237	1850.31
1238	1850.31
1239	1505.55
1240	1505.55
1241	806.202
1242	1267.09
1243	1267.09
1244	1267.09
1245	1267.09
1246	1473.62
1247	1473.62
1248	1473.62
1249	1518.26
1250	1518.26
1251	829.876
1252	1475.97
1253	1694
1254	1357.02
1255	807.727
1256	990.107
1257	990.107
1258	1154.54
1259	1154.54
1260	1154.54
1261	1154.54
1262	1154.54
1263	1154.54
1264	1154.54
1265	1154.54
1266	1154.54
1267	1154.54
1268	1154.54
1269	1154.54
1270	744.841
1271	1042.34
1272	1666.16
1273	1532.29
1274	1637.12
1275	1637.12
1276	2769.13
1277	820.675
1278	851.503
1279	1466.32
1280	1466.32
1281	3381.96
1282	1310.75
1283	1808.03
1284	1808.03
1285	1808.03
1286	1808.03
1287	1808.03
1288	1808.03
1289	1808.03
1290	924.914
1291	924.914
1292	646.235
1293	964.494
1294	1194.72
1295	1194.72
1296	1194.72
1297	1194.72
1298	1194.72
1299	1296.46
1300	1296.46
1301	1296.46
1302	1327.53
1303	3063.36
1304	3063.36
1305	1002.68
1306	688.64
1307	640.911
1308	640.911
1309	640.911
1310	640.911
1311	640.911
1312	1083.82
1313	2023.92
1314	723.513
1315	1135.18
1316	1503.17
1317	2480.43
1318	2480.43
1319	2480.43
1320	2480.43
1321	1720.39
1322	1995.15
1323	675.778
1324	675.778
1325	1275.14
1326	1275.14
1327	1833.39
1328	1833.39
1329	1833.39
1330	863.131
1331	944.296
1332	944.296
1333	959.449
1334	1669.88
1335	1669.88
1336	513.765
1337	981.575
1338	981.575
1339	1833.3
1340	1833.3
1341	1799.48
1342	1762.93
1343	1762.93
1344	1599.27
1345	1458.78
1346	1458.78
1347	1458.78
1348	2671.46
1349	2898.86
1350	2898.86
1351	2898.86
1352	2898.86
1353	1521.39
1354	1638.39
1355	1638.39
1356	1638.39
1357	1638.39
1358	2537.42
1359	872.88
1360	1034.06
1361	665.675
1362	665.675
1363	665.675
1364	1625
1365	1625
1366	1616.61
1367	3440.36
1368	1769.56
1369	1769.56
1370	1769.56
1371	2005.72
1372	878.802
1373	760.039
1374	760.039
1375	726.353
1376	726.353
1377	1551.81
1378	1551.81
1379	1551.81
1380	1551.81
1381	1026.59
1382	1026.59
1383	1183.98
1384	1183.98
1385	1183.98
1386	1183.98
1387	3151.08
1388	852.202
1389	852.202
1390	852.202
1391	1639.24
1392	1639.24
1393	1639.24
1394	1639.24
1395	1639.24
1396	2583.46
1397	2583.46
1398	2583.46
1399	2583.46
1400	2865.39
1401	1026.38
1402	639.414
1403	1812.06
1404	1812.06
1405	678.999
1406	2319.94
1407	890.006
1408	1532.36
1409	1532.36
1410	881.657
1411	881.657
1412	850.139
1413	850.139
1414	1327.99
1415	1327.99
1416	872.72
1417	533.638
1418	3987.64
1419	3987.64
1420	3987.64
1421	2631.89
1422	2667.06
1423	1865.45
1424	1865.45
1425	1865.45
1426	1117.18
1427	1117.18
1428	1117.18
1429	677.505
1430	677.505
1431	808.976
1432	737.707
1433	737.707
1434	737.707
1435	855.25
1436	855.25
1437	855.25
1438	739.643
1439	739.643
1440	739.643
1441	1604.88
1442	1711.3
1443	1711.3
1444	1711.3
1445	1711.3
1446	1711.3
1447	1711.3
1448	639.307
1449	3043.67
1450	1830.94
1451	3366.61
1452	3366.61
1453	3366.61
1454	2127.17
1455	2127.17
1456	2127.17
1457	2127.17
1458	1224.05
1459	1224.05
1460	1908
1461	840.766
1462	840.766
1463	1492.67
1464	1223
1465	4864.58
1466	2828.53
1467	2828.53
1468	2828.53
1469	2828.53
1470	2828.53
1471	2526.73
1472	676.687
1473	1064.96
1474	1064.96
1475	1064.96
1476	902.179
1477	902.179
1478	2638.33
1479	2839.48
1480	2839.48
1481	2839.48
1482	2839.48
1483	1253.16
1484	1477.84
1485	1477.84
1486	1477.84
1487	521.235
1488	521.235
1489	521.235
1490	661.543
1491	661.543
1492	753.653
1493	753.653
1494	753.653
1495	753.653
1496	753.653
1497	753.653
1498	753.653
1499	753.653
1500	730.778
1501	730.778
1502	1124.78
1503	1124.78
1504	1124.78
1505	1060.24
1506	1060.24
1507	1060.24
1508	1060.24
1509	1060.24
1510	1060.24
1511	1060.24
1512	1060.24
1513	2067.3
1514	2067.3
1515	2067.3
1516	2067.3
1517	2067.3
1518	741.267
1519	741.267
1520	741.267
1521	1389.25
1522	1389.25
1523	1304.41
1524	1751.76
1525	1751.76
1526	1275.65
1527	1275.65
1528	1275.65
1529	1275.65
1530	1026.87
1531	1858.5
1532	3704.43
1533	2297.29
1534	2297.29
1535	2297.29
1536	2297.29
1537	2297.29
1538	2297.29
1539	1181.79
1540	1181.79
1541	1181.79
1542	1181.79
1543	798.924
1544	2021.25
1545	4856.83
1546	1909.76
1547	1131.52
1548	771.886
1549	705.804
1550	1662.09
1551	1900.42
1552	1900.42
1553	1900.42
1554	1900.42
1555	1900.42
1556	1900.42
1557	1900.42
1558	1900.42
1559	1290.45
1560	1290.45
1561	1290.45
1562	1533.03
1563	1533.03
1564	1033.58
1565	1033.58
1566	450.638
1567	1441.52
1568	1441.52
1569	1441.52
1570	1441.52
1571	850.95
1572	850.95
1573	850.95
1574	850.95
1575	850.95
1576	1031.83
1577	1437.44
1578	1437.44
1579	1437.44
1580	1002.17
1581	1002.17
1582	1002.17
1583	1002.17
1584	1419.87
1585	1073.56
1586	913.409
1587	913.409
1588	913.409
1589	913.409
1590	913.409
1591	913.409
1592	1645.51
1593	1475.5
1594	1475.5
1595	3040.56
1596	3040.56
1597	3040.56
1598	3040.56
1599	3040.56
1600	2256.96
1601	2256.96
1602	3508.42
1603	3508.42
1604	1220.19
1605	1135.24
1606	1329.22
1607	960.843
1608	960.843
1609	960.843
1610	960.843
1611	960.843
1612	960.843
1613	2405.9
1614	1570.42
1615	2502.52
1616	2502.52
1617	592.311
1618	838.025
1619	838.025
1620	838.025
1621	838.025
1622	759.304
1623	759.304
1624	1050.28
1625	1050.28
1626	1050.28
1627	979.109
1628	716.724
1629	716.724
1630	716.724
1631	967.988
1632	967.988
1633	977.617
1634	948.758
1635	948.758
1636	1143.22
1637	1143.22
1638	761.36
1639	761.36
1640	761.36
1641	761.36
1642	761.36
1643	761.36
1644	761.36
1645	1085.84
1646	1085.84
1647	930.891
1648	930.891
1649	677.95
1650	893.948
1651	893.948
1652	1852.72
1653	970.282
1654	970.282
1655	970.282
1656	970.282
1657	2030.02
1658	2030.02
1659	1294.39
1660	1294.39
1661	1294.39
1662	2074.09
1663	981.217
1664	857.916
1665	1076.8
1666	1076.8
1667	1076.8
1668	1076.8
1669	1214.09
1670	458.571
1671	458.571
1672	458.571
1673	458.571
1674	448.642
1675	496.906
1676	496.906
1677	496.906
1678	744.72
1679	744.72
1680	929.858
1681	1286.64
1682	1286.64
1683	1057.97
1684	1057.97
1685	1057.97
1686	1057.97
1687	1057.97
1688	2342.4
1689	972.333
1690	1644.66
1691	1810.53
1692	1810.53
1693	584.611
1694	584.611
1695	584.611
1696	839.407
1697	1102.65
1698	1102.65
1699	1102.65
1700	1102.65
1701	1102.65
1702	1102.65
1703	1102.65
1704	1832.85
1705	1832.85
1706	1278.37
1707	1409.76
1708	633.933
1709	809.25
1710	489.243
1711	489.243
1712	784.099
1713	784.099
1714	821.474
1715	829.12
1716	1238.5
1717	1928.75
1718	916.936
1719	665.374
1720	665.374
1721	685.188
1722	1208.74
1723	1208.74
1724	1208.74
1725	1722.31
1726	2405.87
1727	2446.32
1728	2446.32
1729	2423.05
1730	6383.72
1731	2849.05
1732	3113.95
1733	3113.95
1734	2798.98
1735	2798.98
1736	677.224
1737	677.224
1738	677.224
1739	677.224
1740	677.224
1741	701.08
1742	701.08
1743	1356.19
1744	1356.19
1745	852.671
1746	1121.71
1747	1478.75
1748	1478.75
1749	2631.3
1750	3438.42
1751	735.381
1752	2906.48
1753	2906.48
1754	2906.48
1755	2906.48
1756	2906.48
1757	2906.48
1758	2906.48
1759	2906.48
1760	2906.48
1761	1598.11
1762	1598.11
1763	1106.8
1764	1106.8
1765	1101
1766	765.157
1767	1495.68
1768	1495.68
1769	1182.75
1770	1182.75
1771	1095.8
1772	1788.24
1773	1788.24
1774	1275.38
1775	1275.38
1776	629.333
1777	629.333
1778	629.333
1779	590.436
1780	590.436
1781	835.896
1782	835.896
1783	835.818
1784	835.818
1785	835.818
1786	835.818
1787	959.849
1788	959.849
1789	959.849
1790	959.849
1791	959.849
1792	955.954
1793	955.954
1794	961.928
1795	1901.15
1796	1901.15
1797	1901.15
1798	1901.15
1799	1901.15
1800	1021.08
1801	1828.45
1802	1828.45
1803	2043.2
1804	3398.74
1805	3398.74
1806	654.559
1807	1689.67
1808	1689.67
1809	1689.67
1810	1689.67
1811	1689.67
1812	1689.67
1813	1124.24
1814	1124.24
1815	1307.18
1816	1194.59
1817	1194.59
1818	1194.59
1819	1366.42
1820	1366.42
1821	1366.42
1822	1173.85
1823	1540.67
1824	1540.67
1825	1540.67
1826	1443.79
1827	2026.58
1828	2026.58
1829	1597.01
1830	1597.01
1831	1597.01
1832	1107.91
1833	1107.91
1834	1914.84
1835	3894.07
1836	1020.59
1837	1020.59
1838	1020.59
1839	1020.59
1840	1020.59
1841	1020.59
1842	1514.33
1843	1514.33
1844	810.754
1845	810.754
1846	603.461
1847	1841.81
1848	1841.81
1849	2340.1
1850	2325.02
1851	2325.02
1852	2325.02
1853	850.255
1854	850.255
1855	1964.54
1856	1930.85
1857	1930.85
1858	982.826
1859	1339.51
1860	1339.51
1861	2114.29
1862	2114.29
1863	2114.29
1864	2114.29
1865	763.059
1866	763.059
1867	763.059
1868	763.059
1869	763.059
1870	578.781
1871	462.737
1872	2150.9
1873	2285.82
1874	1416.72
1875	1278.41
1876	1278.41
1877	1161.75
1878	1161.75
1879	1161.75
1880	1161.75
1881	982.213
1882	982.213
1883	982.213
1884	1568.25
1885	1521.85
1886	1521.85
1887	2316.01
1888	2600.99
1889	1743.77
1890	1743.77
1891	1306.21
1892	1306.21
1893	1039.11
1894	1039.11
1895	1039.11
1896	1039.11
1897	3684.27
1898	3684.27
1899	2210.86
1900	2210.86
1901	1815.35
1902	956.776
1903	956.776
1904	956.776
1905	1472.15
1906	1472.15
1907	1472.15
1908	1356.7
1909	1336.45
1910	1336.45
1911	898.46
1912	1198.88
1913	1198.88
1914	1198.88
1915	712.979
1916	712.979
1917	712.979
1918	2187.21
1919	1168.51
1920	891.008
1921	891.008
1922	891.008
1923	891.008
1924	891.008
1925	891.008
1926	891.008
1927	891.008
1928	1383.19
1929	1383.19
1930	1383.19
1931	992.627
1932	992.627
1933	992.627
1934	992.627
1935	992.627
1936	1009.23
1937	1009.23
1938	1009.23
1939	1009.23
1940	1192.16
1941	1042.14
