Sweep	Chain_1	Chain_2	Chain_3	
24844	-21929.39004827	-21929.39004827	-21935.3992935	
24845	-21929.25589563	-21940.21680332	-21934.60515012	
24846	-21929.85603171	-21929.25589563	-21949.31373607	
24847	-21930.53477158	-21941.13241733	-21946.40614988	
24848	-21930.26548534	-21929.66576202	-21948.71803457	
24849	-21930.26548534	-21929.66576202	-21948.71803457	
24850	-21929.24489279	-21929.84500939	-21949.53475776	
24851	-21929.31394861	-21934.19456218	-21947.76828833	
24852	-21929.27975113	-21945.1745471	-21947.24639244	
24853	-21929.27975113	-21945.1745471	-21947.24639244	
24854	-21933.56274452	-21935.05723552	-21959.05409742	
24855	-21933.56274452	-21935.05723552	-21959.05409742	
24856	-21933.61558625	-21935.15878582	-21959.40039215	
24857	-21933.77210999	-21934.95684809	-21935.62269994	
24858	-21933.77210999	-21934.95684809	-21935.62269994	
24859	-21935.48780816	-21938.63615242	-21955.71873817	
24860	-21935.27711651	-21934.89117246	-21938.75394102	
24861	-21934.93982062	-21935.32579802	-21938.80292276	
24862	-21935.32579802	-21934.93982062	-21938.80292276	
24863	-21935.32579802	-21934.93982062	-21938.80292276	
24864	-21938.80292276	-21934.93982062	-21935.32579802	
24865	-21935.32579802	-21938.80292276	-21934.93982062	
24866	-21935.57800918	-21935.19195689	-21939.05580819	
24867	-21930.15160935	-21935.16097656	-21944.80004025	
24868	-21930.15160935	-21940.30217567	-21948.87350335	
24869	-21930.51288411	-21945.54180497	-21945.79092932	
24870	-21930.6115904	-21946.00579419	-21945.75666195	
24871	-21930.45421561	-21945.40947883	-21945.65859786	
24872	-21930.45421561	-21945.65859786	-21945.40947883	
24873	-21930.45421561	-21932.40011966	-21945.76303858	
24874	-21930.28813098	-21944.0515699	-21934.81051393	
24875	-21930.15241318	-21929.33434583	-21935.23806643	
24876	-21930.33260931	-21929.51444255	-21953.89211403	
24877	-21930.33260931	-21929.51444255	-21953.89211403	
24878	-21929.23886612	-21930.05679173	-21939.64645143	
24879	-21929.23886612	-21942.42188661	-21944.36251072	
24880	-21930.08786236	-21942.49555378	-21944.05259931	
24881	-21929.23607379	-21944.29393908	-21942.37513665	
24882	-21929.36932556	-21932.13304308	-21955.68333387	
