Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
2606	3	6	1	2
2610	3	8	2	1
2611	3	6	1	2
2612	3	7	1	2
2614	1	1	1	2
2617	2	2	2	1
2618	1	1	1	2
2620	1	1	1	3
2621	2	2	3	2
2622	3	2	1	2
2625	1	1	1	2
2626	3	3	1	2
2628	2	2	1	3
2630	1	1	3	1
2633	2	2	1	2
2640	2	2	1	2
2641	2	2	1	3
2646	3	7	1	2
2649	3	7	1	2
2661	1	1	1	2
2666	1	1	2	1
2667	2	2	2	1
2676	1	1	2	1
2683	1	1	1	2
2684	1	1	1	2
2686	2	2	1	2
2692	1	1	1	2
2695	1	1	2	1
2696	3	7	2	1
2707	3	6	2	1
2708	3	6	1	2
2709	3	6	1	2
2711	3	3	2	1
2715	1	1	1	2
2719	3	2	1	2
2721	2	2	1	2
2722	2	2	1	2
2727	2	2	1	2
2730	1	1	2	1
2732	2	2	2	3
2734	1	1	1	2
2735	3	2	2	1
2739	3	2	1	2
2745	1	1	2	1
2747	1	1	1	2
2748	3	2	1	2
2752	3	8	2	1
2753	2	2	2	1
2754	3	2	2	1
2757	1	1	1	2
2759	1	1	2	1
2760	3	3	1	2
2761	3	2	1	2
2762	1	1	2	1
2763	1	1	1	2
2764	3	2	1	2
2776	3	3	1	2
2778	2	2	1	2
2781	1	1	1	2
2793	1	1	1	2
2794	2	2	2	1
2803	1	1	3	1
2804	1	1	1	3
2809	1	1	2	1
2822	3	3	1	3
2825	1	1	1	2
2826	2	2	3	1
2828	3	2	1	2
2830	3	6	1	2
2831	3	7	1	2
2833	3	7	1	2
2836	3	2	1	2
2840	1	1	2	1
2841	1	1	1	2
2842	2	2	1	2
2843	2	2	2	1
2851	3	3	2	1
2852	2	2	1	2
2853	2	2	1	2
2854	2	2	2	1
2855	1	1	1	2
2856	3	2	1	2
2858	3	7	3	1
2859	2	2	1	3
2862	2	2	1	2
2863	3	2	2	1
2865	2	2	1	2
2869	3	2	1	2
2873	2	2	1	2
2876	2	2	2	1
2877	1	1	1	2
2889	2	2	1	2
2890	3	7	2	1
2891	2	2	1	2
2897	1	1	1	2
2898	2	2	1	2
2900	2	2	1	2
2901	2	2	1	3
2903	3	2	1	2
2904	3	3	1	2
2906	3	4	1	2
2907	1	1	1	2
2912	2	2	1	2
2914	2	2	1	2
2921	2	2	1	3
2925	1	1	3	1
2941	1	1	2	1
2943	3	6	1	2
2950	1	1	1	2
2952	2	2	1	2
2956	1	1	2	1
2957	2	2	2	1
2958	1	1	1	2
2965	1	1	1	2
2968	1	1	2	1
2969	3	3	1	2
2970	2	2	1	2
2976	2	2	1	2
2978	2	2	1	3
2979	3	2	1	3
2981	1	1	1	3
2986	3	7	1	3
2988	2	2	2	1
2989	3	2	1	2
2992	3	4	1	2
2995	2	2	2	1
2996	3	1	2	1
2997	1	1	1	2
2998	2	2	1	2
2999	2	2	1	2
3000	1	1	1	2
3001	3	2	1	2
3004	3	3	1	2
3011	1	1	1	3
3014	2	2	1	2
3017	1	1	1	3
3019	1	1	1	3
3021	1	1	1	2
3022	3	3	3	1
3023	2	2	2	1
3027	2	2	1	2
3028	1	1	1	2
3033	3	2	1	2
3037	2	2	1	2
3038	2	2	1	2
3043	1	1	1	2
3044	2	2	1	2
3048	3	3	1	2
3050	2	2	1	2
3051	3	2	1	2
3052	2	2	1	2
3054	2	2	1	2
3055	2	2	1	2
3057	1	1	2	1
3061	3	2	1	2
3065	2	2	2	1
3068	2	2	1	2
3069	3	3	1	2
3070	1	1	1	2
3072	2	2	1	2
3074	2	2	1	2
3079	3	2	1	2
3081	2	2	2	1
3082	2	2	1	2
3087	3	6	2	1
3088	3	7	1	2
3097	3	2	1	2
3098	1	1	1	2
3102	2	2	2	1
3103	2	2	2	1
3107	3	7	3	1
3108	3	4	3	1
3111	2	2	2	1
3114	3	2	2	1
3115	3	7	1	2
3118	2	2	1	2
3120	1	1	1	2
3127	1	1	1	3
3140	3	2	2	1
3141	3	4	1	3
3142	3	3	3	1
3143	3	2	1	3
3144	2	2	1	3
3148	1	1	1	3
3150	3	4	2	1
3153	1	1	2	1
3154	1	1	1	2
3155	3	3	1	2
3157	2	2	2	1
3160	1	1	2	1
3163	3	2	1	2
3168	3	4	1	2
3173	2	2	1	2
3178	3	7	1	2
3180	2	2	2	1
3181	3	8	2	1
3184	3	2	1	2
3185	1	1	2	1
3192	3	7	1	2
3193	2	2	2	1
3202	1	1	2	1
3204	2	2	1	2
3207	2	2	1	2
3209	3	1	1	2
3210	2	2	1	2
3212	3	2	1	2
3215	3	1	1	2
3216	2	2	1	3
3217	3	2	1	3
3229	2	2	1	2
3231	2	2	1	2
3232	3	7	1	2
3234	1	1	1	2
3235	1	1	1	2
3237	2	2	2	1
3238	1	1	2	1
3239	1	1	1	2
3240	1	1	1	2
3244	3	4	1	2
3249	1	1	2	1
3250	3	3	1	2
3251	1	1	2	1
3252	1	1	1	2
3253	1	1	1	3
3254	2	2	1	2
3255	3	7	2	1
3256	2	2	2	1
3257	2	2	1	2
3259	1	1	1	3
3265	2	2	1	2
3267	1	1	1	2
3268	2	2	1	2
3269	2	2	2	1
3278	3	2	1	2
3283	1	1	1	2
3285	3	4	1	2
3293	2	2	1	2
3295	2	2	2	1
3298	3	3	1	2
3299	2	2	2	1
3306	3	3	1	2
3318	3	2	1	3
3320	3	4	1	3
3321	1	1	1	2
3325	3	7	1	3
3327	2	2	2	1
3330	2	2	1	2
3332	3	3	2	1
3333	2	2	1	3
3334	2	2	2	1
3339	3	2	1	3
3342	1	1	2	1
3348	3	7	1	3
3349	1	1	1	3
3351	2	2	1	2
3353	1	1	1	2
3355	3	4	1	2
3356	3	3	1	2
3359	1	1	1	3
3362	3	3	2	1
3364	1	1	1	2
3365	2	2	1	2
3366	3	2	1	2
3368	2	2	1	2
3370	3	2	1	2
3371	2	2	1	2
3373	3	7	1	2
3380	2	2	1	2
3381	2	2	1	2
3386	1	1	1	2
3388	2	2	1	2
3390	1	1	1	2
3395	3	1	1	3
3398	1	1	1	2
3403	2	2	1	2
3405	3	1	1	3
3409	2	2	2	1
3410	3	2	1	2
3423	3	2	1	2
3427	1	1	1	2
3428	1	1	1	2
3429	2	2	1	2
3431	3	7	2	1
3432	2	2	2	1
3438	3	1	2	3
3442	3	1	1	2
3444	1	1	2	1
3447	3	2	1	3
3448	2	2	1	3
3456	2	2	1	2
3458	1	1	1	3
3462	3	7	1	2
3463	2	2	1	3
3464	2	2	1	2
3469	3	2	1	2
3471	2	2	2	1
3474	2	2	2	1
3478	2	2	1	2
3481	3	3	1	2
3484	2	2	1	3
3487	2	2	2	1
3488	3	2	1	2
3494	3	3	1	2
3498	2	2	1	2
3501	3	7	1	2
3503	3	3	1	3
3511	2	2	2	1
3512	2	2	1	2
