Sweep	Chain_1	Chain_2	Chain_3	
21412	-21947.30306952	-21954.66593383	-21964.2707144	
21413	-21947.30188889	-21964.15758628	-21954.61997362	
21414	-21947.30441407	-21954.68298161	-21964.31131654	
21415	-21947.30441407	-21954.68298161	-21964.31131654	
21416	-21946.45656231	-21954.82075568	-21954.32566435	
21417	-21946.45656231	-21954.82075568	-21954.32566435	
21418	-21946.45656231	-21954.32566435	-21954.82075568	
21419	-21946.45656231	-21954.32566435	-21954.82075568	
21420	-21946.45656231	-21953.00550171	-21954.68298161	
21421	-21946.45656231	-21960.90253257	-21953.00550171	
21422	-21946.45656231	-21953.00550171	-21960.90253257	
21423	-21946.45656231	-21953.00550171	-21960.90253257	
21424	-21946.43475322	-21952.73890442	-21960.39053316	
21425	-21946.43475322	-21952.73890442	-21960.39053316	
21426	-21946.62184377	-21953.276356	-21961.27914496	
21427	-21946.62184377	-21947.3650401	-21958.00618111	
21428	-21947.3650401	-21946.62184377	-21958.00618111	
21429	-21946.49501016	-21947.31358916	-21957.65195315	
21430	-21947.31358916	-21946.49501016	-21957.65195315	
21431	-21947.31358916	-21950.28710745	-21954.56472282	
21432	-21946.15204056	-21947.31358916	-21954.85189408	
21433	-21948.78180528	-21949.13223823	-21958.29761554	
21434	-21948.78180528	-21959.20744625	-21962.78561897	
21435	-21948.78180528	-21959.20744625	-21962.78561897	
21436	-21949.13223823	-21962.78561897	-21959.89719874	
21437	-21948.78180528	-21950.70609147	-21974.16701231	
21438	-21948.63391932	-21950.55818933	-21973.84604781	
21439	-21949.15542991	-21951.07975169	-21974.96967942	
21440	-21949.15542991	-21951.07975169	-21970.11749162	
21441	-21948.1552067	-21950.079414	-21969.1473899	
21442	-21949.04191374	-21950.96622544	-21970.45438695	
21443	-21946.95194676	-21948.87587044	-21967.28455713	
21444	-21948.87587044	-21947.78014724	-21972.72386016	
21445	-21947.78014724	-21948.87587044	-21972.72386016	
21446	-21947.72664873	-21948.08456011	-21966.94815143	
21447	-21948.41273356	-21947.09733782	-21962.45732991	
21448	-21946.4298606	-21947.30181348	-21963.58551864	
21449	-21946.43337351	-21947.52184123	-21962.01903493	
21450	-21947.24995172	-21948.59441231	-21961.79622766	
21451	-21947.24995172	-21952.89415926	-21958.45021554	
21452	-21946.51034853	-21948.09076052	-21964.91505702	
21453	-21948.09076052	-21946.51034853	-21964.91505702	
21454	-21946.60991603	-21948.18927709	-21963.49780252	
21455	-21946.60991603	-21951.91455677	-21954.99197632	
21456	-21948.26818614	-21957.69404301	-21959.99967822	
21457	-21948.34979164	-21955.90878448	-21953.49318494	
21458	-21952.00158928	-21948.34979164	-21963.24991139	
21459	-21947.44335256	-21956.8819178	-21963.11649121	
21460	-21950.85936939	-21950.92417986	-21951.35637847	
21461	-21950.92417986	-21951.35637847	-21950.85936939	
21462	-21950.92417986	-21951.35637847	-21950.85936939	
21463	-21952.48543927	-21953.47422672	-21952.55026788	
21464	-21952.34903668	-21953.08031724	-21953.82162061	
21465	-21951.26110527	-21953.01402265	-21951.99223894	
21466	-21946.54076328	-21948.12121077	-21963.40241615	
21467	-21948.12121077	-21946.54076328	-21963.40241615	
21468	-21948.12121077	-21946.19778167	-21955.05456624	
21469	-21948.49676693	-21950.91264783	-21968.29930171	
21470	-21948.49676693	-21950.99381493	-21946.91605718	
21471	-21947.99408926	-21950.03301341	-21946.41432605	
21472	-21946.41432605	-21950.03301341	-21947.99408926	
21473	-21946.3747503	-21950.05825305	-21947.95470533	
21474	-21946.3747503	-21951.4307884	-21961.69306465	
21475	-21946.3747503	-21955.45254656	-21963.79829725	
21476	-21946.3747503	-21955.45254656	-21963.79829725	
21477	-21946.43171137	-21950.58583191	-21966.64741096	
21478	-21946.43171137	-21950.58583191	-21966.64741096	
21479	-21947.30448581	-21950.49483815	-21966.2042636	
21480	-21947.60061623	-21950.56718115	-21965.15664786	
21481	-21947.60061623	-21951.84768131	-21960.12442559	
21482	-21947.8858367	-21953.50357624	-21963.15494349	
21483	-21947.8858367	-21953.50357624	-21963.15494349	
21484	-21949.02834349	-21952.90398025	-21963.15494349	
21485	-21947.78566269	-21957.45462313	-21957.82211968	
21486	-21947.78566269	-21951.43254782	-21977.67089633	
21487	-21951.43254782	-21947.78566269	-21977.67089633	
21488	-21947.3883518	-21949.97336936	-21973.01487349	
21489	-21947.3883518	-21949.97336936	-21973.01487349	
21490	-21949.97336936	-21947.3883518	-21973.01487349	
21491	-21947.95615209	-21949.97336936	-21974.25738393	
21492	-21947.95615209	-21950.26047739	-21958.5582866	
21493	-21952.21620403	-21970.64135266	-21959.47090347	
21494	-21952.21620403	-21959.47090347	-21970.64135266	
21495	-21951.08720445	-21961.39980772	-21970.64135266	
21496	-21951.08720445	-21961.39980772	-21970.64135266	
21497	-21951.47956873	-21961.18676485	-21970.12242946	
21498	-21946.03068126	-21955.55196688	-21963.56817054	
21499	-21946.03068126	-21955.55196688	-21963.56817054	
21500	-21946.03068126	-21953.40372089	-21975.39639235	
21501	-21946.03068126	-21949.83477222	-21954.6618507	
21502	-21946.03068126	-21949.83477222	-21954.6618507	
21503	-21946.03068126	-21950.8916156	-21957.64689647	
21504	-21952.63205923	-21953.98070231	-21960.71440201	
21505	-21949.37880577	-21950.65728961	-21960.74119055	
21506	-21946.02916668	-21950.63035343	-21967.40095988	
21507	-21946.02916668	-21950.63035343	-21967.40095988	
