Sweep	g
574	2051.59
575	1418.32
576	1418.32
577	1418.32
578	1418.32
579	1398.07
580	1398.07
581	1398.07
582	1627.52
583	1627.52
584	1627.52
585	1627.52
586	1627.52
587	1627.52
588	1627.52
589	1627.52
590	1627.52
591	1627.52
592	1627.52
593	1168.08
594	1168.08
595	1168.08
596	1348.56
597	1348.56
598	1348.56
599	1348.56
600	1348.56
601	1348.56
602	982.389
603	982.389
604	982.389
605	821.509
606	1121.52
607	1121.52
608	1170.61
609	1561.95
610	1561.95
611	1122.22
612	1122.22
613	1122.22
614	1122.22
615	1122.22
616	1122.22
617	1122.22
618	1122.22
619	1122.22
620	1122.22
621	1122.22
622	1122.22
623	1122.22
624	2209.02
625	2209.02
626	1668.62
627	2276.82
628	1789.84
629	1789.84
630	1446.23
631	1446.23
632	1446.23
633	719.663
634	2839.98
635	2839.98
636	2839.98
637	2839.98
638	2839.98
639	1369.94
640	1369.94
641	1369.94
642	1369.94
643	1369.94
644	1369.94
645	1087.19
646	1087.19
647	1087.19
648	1087.19
649	1087.19
650	1087.19
651	1087.19
652	1345.49
653	1636.66
654	1636.66
655	596.186
656	596.186
657	464.701
658	909.161
659	909.161
660	2515.98
661	2787.82
662	2362.63
663	2362.63
664	2362.63
665	2362.63
666	3208.3
667	2224.73
668	2871.21
669	2871.21
670	2871.21
671	2871.21
672	963.689
673	963.689
674	963.689
675	971.374
676	906.71
677	906.71
678	906.71
679	1293.96
680	850.539
681	2057.02
682	1668.69
683	1668.69
684	1728.48
685	2079.74
686	1082.08
687	1082.08
688	1082.08
689	1082.08
690	2205.07
691	2205.07
692	1338.82
693	2340.56
694	1649.99
695	1780.6
696	1780.6
697	1442.08
698	2940.76
699	2945.82
700	1340.05
701	1848.65
702	781.011
703	1231.7
704	1231.7
705	1843.2
706	1843.2
707	1196.12
708	2906.51
709	5362.88
710	5362.88
711	2185.74
712	2185.74
713	2078.49
714	1214.03
715	1084.16
716	1084.16
717	1084.16
718	1084.16
719	1084.16
720	1084.16
721	1642.51
722	817.48
723	817.48
724	3906.04
725	4976.71
726	4976.71
727	5288.49
728	3134.27
729	819.814
730	2235.48
731	2235.48
732	2235.48
733	2235.48
734	4362.84
735	2058.87
736	2058.87
737	2058.87
738	1569.42
739	2101.97
740	2101.97
741	1657.3
742	1657.3
743	1436.55
744	1436.55
745	2155.11
746	2090.73
747	2021.78
748	2870.39
749	2870.39
750	2870.39
751	2870.39
752	2870.39
753	2870.39
754	2870.39
755	2870.39
756	2870.39
757	2870.39
758	2870.39
759	3566.63
760	3566.63
761	2529.65
762	2524.21
763	966.037
764	798.709
765	2246.08
766	1094.02
767	1094.02
768	1280.01
769	1504.04
770	1504.04
771	2006.69
772	2006.69
773	2006.69
774	1206.75
775	3306.94
776	1897.49
777	2670.7
778	1079.07
779	1399.67
780	1399.67
781	682.108
782	682.108
783	628.144
784	417.191
785	430.864
786	430.864
787	946.842
788	652.053
789	1572.26
790	3424.98
791	3424.98
792	1519.44
793	1126.29
794	1126.29
795	1126.29
796	1126.29
797	1126.29
798	965.433
799	965.433
800	965.433
801	965.433
802	1243.35
803	1243.35
804	1049.42
805	1338.21
806	1099.5
807	1099.5
808	1099.5
809	1099.5
810	1099.5
811	1099.5
812	1099.5
813	1099.5
814	1247.84
815	1247.84
816	1199.15
817	1199.15
818	1199.15
819	597.403
820	937.433
821	2435.18
822	2435.18
823	2435.18
824	2435.18
825	2435.18
826	837.898
827	1448.97
828	1448.97
829	1766.7
830	1766.7
831	1766.7
832	1766.7
833	1766.7
834	1569.26
835	926.721
