Sweep	Model_size	log_marg	log_cond_post	Model
18855	3	-21922.60853999	-21950.91320572	2 9 13 
18856	3	-21923.44051438	-21950.62349292	2 9 13 
18857	3	-21924.17261862	-21951.08907004	2 9 13 
18858	2	-21921.13403831	-21946.5401848	2 9 
18859	2	-21920.32452593	-21946.04390778	2 9 
18860	2	-21920.32452593	-21946.04390778	2 9 
18861	2	-21920.32452593	-21946.04390778	2 9 
18862	2	-21920.32452593	-21946.04390778	2 9 
18863	2	-21920.66738249	-21946.38676434	1 9 
18864	2	-21921.44332824	-21946.84032713	1 9 
18865	2	-21921.44332824	-21946.84032713	1 9 
18866	2	-21921.44332824	-21946.84032713	1 9 
18867	2	-21921.44332824	-21946.84032713	1 9 
18868	1	-21923.52911754	-21947.33950102	9 
18869	2	-21920.35555951	-21946.036233	2 9 
18870	3	-21922.78146122	-21950.00257975	2 9 14 
18871	1	-21923.47655783	-21947.39937341	9 
18872	1	-21923.80974744	-21947.43421483	9 
18873	1	-21923.56952771	-21947.3131511	9 
18874	1	-21923.46986225	-21947.40924196	9 
18875	1	-21923.46986225	-21947.40924196	9 
18876	2	-21920.85273536	-21946.37983009	1 9 
18877	2	-21920.85273536	-21946.37983009	1 9 
18878	2	-21920.50982387	-21946.0369186	2 9 
18879	2	-21920.50982387	-21946.0369186	2 9 
18880	2	-21920.51852148	-21946.03875111	2 9 
18881	2	-21920.05475885	-21946.24127994	2 9 
18882	2	-21920.05475885	-21946.24127994	2 9 
18883	2	-21920.05475885	-21946.24127994	2 9 
18884	2	-21920.39751363	-21946.58403472	1 9 
18885	2	-21920.42102951	-21946.55651554	1 9 
18886	2	-21920.42102951	-21946.55651554	1 9 
18887	2	-21920.42102951	-21946.55651554	1 9 
18888	2	-21920.41383882	-21946.56470064	1 9 
18889	1	-21923.33629656	-21947.72930046	9 
18890	1	-21923.33629656	-21947.72930046	9 
18891	2	-21921.88316215	-21947.49681467	1 9 
18892	2	-21920.24469548	-21946.07689557	2 9 
18893	2	-21920.24469548	-21946.07689557	2 9 
18894	2	-21920.24469548	-21946.07689557	2 9 
18895	2	-21920.24469548	-21946.07689557	2 9 
18896	2	-21920.24469548	-21946.07689557	2 9 
18897	2	-21920.24469548	-21946.07689557	2 9 
18898	2	-21920.24469548	-21946.07689557	2 9 
18899	2	-21920.29880312	-21946.05241033	2 9 
18900	2	-21920.29880312	-21946.05241033	2 9 
18901	2	-21920.29880312	-21946.05241033	2 9 
18902	2	-21920.29880312	-21946.05241033	2 9 
18903	2	-21920.29880312	-21946.05241033	2 9 
18904	2	-21920.29880312	-21946.05241033	2 9 
18905	2	-21920.29880312	-21946.05241033	2 9 
18906	2	-21920.91071169	-21946.28495038	2 9 
18907	2	-21920.91071169	-21946.28495038	2 9 
18908	2	-21920.72418046	-21946.13093852	2 9 
18909	2	-21920.72418046	-21946.13093852	2 9 
18910	2	-21920.72418046	-21946.13093852	2 9 
18911	3	-21928.35149954	-21955.29870265	8 9 13 
18912	3	-21924.41737574	-21951.36457885	2 5 9 
18913	2	-21925.62232642	-21950.99799139	9 12 
18914	3	-21922.39420121	-21950.02575673	2 9 14 
18915	2	-21920.91146709	-21946.28569218	2 9 
18916	2	-21920.77883301	-21946.16975919	2 9 
18917	2	-21920.77883301	-21946.16975919	2 9 
18918	2	-21920.77883301	-21946.16975919	2 9 
18919	2	-21920.77883301	-21946.16975919	2 9 
18920	2	-21921.61568191	-21947.28460912	2 9 
18921	2	-21921.46081089	-21947.02149205	2 9 
18922	2	-21921.46081089	-21947.02149205	2 9 
18923	2	-21921.46081089	-21947.02149205	2 9 
18924	2	-21921.46081089	-21947.02149205	2 9 
18925	2	-21919.99554397	-21946.32050806	2 9 
18926	2	-21920.69236196	-21946.11093599	2 9 
18927	2	-21920.69236196	-21946.11093599	2 9 
18928	2	-21920.50700332	-21946.03636322	2 9 
18929	2	-21921.32288171	-21946.80485235	2 9 
18930	2	-21921.15029488	-21946.56135381	2 9 
18931	2	-21920.18348462	-21946.11596231	2 9 
18932	3	-21921.85817977	-21949.3311025	2 3 9 
18933	2	-21920.18348462	-21946.11596231	2 9 
18934	2	-21920.18348462	-21946.11596231	2 9 
18935	2	-21920.18348462	-21946.11596231	2 9 
18936	3	-21922.94946903	-21950.03362352	2 9 10 
18937	2	-21920.48966205	-21946.03337149	2 9 
18938	2	-21920.69475054	-21946.11236916	2 9 
18939	2	-21920.69475054	-21946.11236916	2 9 
18940	2	-21920.69475054	-21946.11236916	2 9 
18941	3	-21924.80988242	-21951.72734642	2 5 9 
18942	2	-21920.98459998	-21946.36161894	2 9 
18943	2	-21920.20722203	-21946.0993306	2 9 
18944	2	-21920.20722203	-21946.0993306	2 9 
18945	2	-21920.61014857	-21946.06865866	2 9 
18946	2	-21920.61014857	-21946.06865866	2 9 
18947	2	-21920.61014857	-21946.06865866	2 9 
18948	2	-21920.61014857	-21946.06865866	2 9 
18949	2	-21920.61014857	-21946.06865866	2 9 
18950	2	-21920.40985275	-21946.02932927	2 9 
18951	2	-21920.40985275	-21946.02932927	2 9 
18952	2	-21920.40985275	-21946.02932927	2 9 
18953	2	-21920.40985275	-21946.02932927	2 9 
18954	2	-21920.59079673	-21946.06077547	2 9 
18955	2	-21920.59079673	-21946.06077547	2 9 
18956	2	-21920.86141593	-21946.23850219	2 9 
18957	2	-21920.97197244	-21946.34794018	2 9 
18958	2	-21921.50730953	-21947.09842129	2 9 
18959	2	-21921.50730953	-21947.09842129	2 9 
18960	3	-21925.12611666	-21952.25767345	2 9 13 
18961	2	-21921.64752519	-21947.34103667	2 9 
18962	2	-21921.64752519	-21947.34103667	2 9 
18963	2	-21921.16747264	-21946.58407097	2 9 
18964	2	-21921.16747264	-21946.58407097	2 9 
18965	2	-21920.08854793	-21946.20238343	2 9 
18966	3	-21922.98656438	-21950.64084491	2 9 13 
18967	2	-21920.08854793	-21946.20238343	2 9 
18968	3	-21922.38595274	-21950.04023328	2 6 9 
18969	2	-21920.69851396	-21946.11464997	2 9 
18970	2	-21920.39520198	-21946.03039541	2 9 
18971	2	-21920.39520198	-21946.03039541	2 9 
18972	2	-21920.39520198	-21946.03039541	2 9 
18973	2	-21920.39520198	-21946.03039541	2 9 
18974	2	-21920.39520198	-21946.03039541	2 9 
18975	2	-21920.23282652	-21946.08350445	2 9 
18976	2	-21921.025888	-21946.40793602	2 9 
18977	2	-21921.025888	-21946.40793602	2 9 
18978	2	-21921.19914028	-21946.62686843	2 9 
18979	2	-21921.19914028	-21946.62686843	2 9 
18980	2	-21921.00446787	-21946.38360595	2 9 
18981	2	-21921.59349766	-21947.24574572	2 9 
18982	2	-21920.97353282	-21946.34961789	2 9 
18983	2	-21920.97353282	-21946.34961789	2 9 
18984	2	-21921.34378531	-21946.72248637	1 9 
18985	2	-21921.34378531	-21946.72248637	1 9 
18986	2	-21921.00077043	-21946.37947149	2 9 
18987	2	-21921.34378531	-21946.72248637	1 9 
18988	1	-21923.79635809	-21947.41720123	9 
18989	3	-21925.17419619	-21952.0933423	1 5 9 
18990	2	-21925.49872582	-21950.87742688	5 9 
18991	1	-21923.87007437	-21947.5228862	9 
18992	1	-21923.87007437	-21947.5228862	9 
18993	1	-21923.87007437	-21947.5228862	9 
18994	3	-21925.39748064	-21952.34859543	1 5 9 
18995	2	-21921.49208201	-21946.90275176	1 9 
18996	2	-21921.74171848	-21947.26470706	1 9 
18997	2	-21921.09738551	-21946.49470289	1 9 
18998	2	-21921.09738551	-21946.49470289	1 9 
18999	2	-21921.09738551	-21946.49470289	1 9 
19000	3	-21925.59229584	-21952.53005826	4 7 9 
19001	3	-21925.59229584	-21952.53005826	4 7 9 
19002	2	-21921.09738551	-21946.49470289	1 9 
19003	2	-21920.70012781	-21946.37875927	1 9 
19004	2	-21920.70012781	-21946.37875927	1 9 
19005	2	-21920.70012781	-21946.37875927	1 9 
