Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1124	1	1	2	1
1125	1	1	2	1
1128	2	2	1	3
1129	3	3	1	2
1134	2	2	2	1
1138	3	3	2	1
1140	1	1	2	1
1144	3	2	1	2
1147	2	2	2	1
1151	2	2	1	2
1162	3	3	1	3
1167	3	3	2	1
1170	3	2	1	3
1171	3	2	1	2
1174	2	2	2	1
1177	1	1	1	3
1178	2	2	3	1
1181	3	5	1	2
1194	3	2	1	2
1202	1	1	2	1
1207	2	2	1	3
1208	2	2	1	2
1211	3	2	1	2
1212	3	1	1	3
1214	1	1	1	2
1216	3	3	1	3
1220	1	1	1	2
1222	1	1	1	2
1224	3	2	2	1
1236	2	2	2	1
1237	2	2	1	2
1238	1	1	1	2
1244	1	1	2	1
1245	1	1	1	2
1250	2	2	2	1
1252	2	2	2	1
1256	3	2	1	2
1257	1	1	1	3
1263	3	3	3	1
1269	1	1	1	2
1270	1	1	1	2
1271	1	1	1	2
1273	3	4	1	2
1274	2	2	3	1
1279	3	3	1	2
1280	3	3	1	2
1281	2	2	1	2
1283	3	2	3	1
1284	3	2	2	3
1285	1	1	1	3
1286	3	3	3	2
1288	2	2	2	3
1289	1	1	2	3
1292	1	1	1	2
1293	2	2	1	2
1297	3	5	2	1
1306	3	3	1	2
1310	2	2	2	1
1312	2	2	1	2
1314	3	2	1	3
1317	2	2	2	1
1318	3	2	2	1
1321	1	1	1	3
1322	1	1	1	3
1323	1	1	1	3
1326	3	3	1	3
1328	2	2	1	3
1337	2	2	2	1
1338	2	2	1	3
1346	1	1	1	2
1347	1	1	2	1
1350	2	2	1	3
1351	2	2	1	2
1358	2	2	1	3
1365	1	1	1	2
1369	1	1	1	2
1371	2	2	1	2
1373	1	1	2	1
1377	1	1	1	3
1378	2	2	2	1
1379	2	2	2	1
1384	2	2	2	1
1386	3	3	2	1
1387	1	1	2	1
1388	1	1	2	1
1389	2	2	2	1
1390	3	2	1	2
1391	3	3	2	1
1396	1	1	2	1
1397	3	3	1	2
1398	3	2	2	1
1399	3	3	2	1
1400	2	2	2	1
1401	2	2	1	2
1402	3	3	1	2
1403	2	2	1	2
1405	1	1	1	2
1406	1	1	2	1
1408	2	2	1	2
1409	3	1	2	1
1411	3	5	1	3
1417	2	2	1	2
1427	1	1	1	2
1429	1	1	1	3
1432	2	2	2	1
1434	3	1	1	2
1439	2	2	1	2
1440	1	1	1	2
1442	3	2	1	3
1449	3	2	1	2
1454	2	2	2	1
1456	3	2	3	1
